cod_fabrica,cod_venta,descripcion,precio
3383,BI6517RS,Vestido 100% Lino Made In Italy,46000
3383,BI6517TJ,Vestido 100% Lino Made In Italy,46000
3383,BI6517BD,Vestido 100% Lino Made In Italy,46000
3383,BI6517BG,Vestido 100% Lino Made In Italy,46000
3383,BI6517FG,Vestido 100% Lino Made In Italy,46000
3383,BI6517MG,Vestido 100% Lino Made In Italy,46000
3383,BI6517CL,Vestido 100% Lino Made In Italy,46000
3383,BI6517ZM,Vestido 100% Lino Made In Italy,46000
3383,BI6517NG,Vestido 100% Lino Made In Italy,46000
99407,BI6518BL,Vestido 100% Lino Made In Italy,55000
99407,BI6518RS,Vestido 100% Lino Made In Italy,55000
99407,BI6518TJ,Vestido 100% Lino Made In Italy,55000
99407,BI6518BD,Vestido 100% Lino Made In Italy,55000
99407,BI6518BG,Vestido 100% Lino Made In Italy,55000
99407,BI6518FG,Vestido 100% Lino Made In Italy,55000
99407,BI6518MG,Vestido 100% Lino Made In Italy,55000
99407,BI6518CL,Vestido 100% Lino Made In Italy,55000
99407,BI6518ZM,Vestido 100% Lino Made In Italy,55000
99407,BI6518NG,Vestido 100% Lino Made In Italy,55000
994079,BI6519BL,Camisa 100% Lino Made In Italy,45000
994079,BI6519RS,Camisa 100% Lino Made In Italy,45000
994079,BI6519TJ,Camisa 100% Lino Made In Italy,45000
994079,BI6519BD,Camisa 100% Lino Made In Italy,45000
994079,BI6519BG,Camisa 100% Lino Made In Italy,45000
994079,BI6519FG,Camisa 100% Lino Made In Italy,45000
994079,BI6519MG,Camisa 100% Lino Made In Italy,45000
994079,BI6519CL,Camisa 100% Lino Made In Italy,45000
994079,BI6519ZM,Camisa 100% Lino Made In Italy,45000
994079,BI6519NG,Camisa 100% Lino Made In Italy,45000
4948,BI6520BL,Camiseta 100% Cotone Made In Italy,28000
4948,BI6520RS,Camiseta 100% Cotone Made In Italy,28000
4948,BI6520TJ,Camiseta 100% Cotone Made In Italy,28000
4948,BI6520BD,Camiseta 100% Cotone Made In Italy,28000
4948,BI6520BG,Camiseta 100% Cotone Made In Italy,28000
4948,BI6520FG,Camiseta 100% Cotone Made In Italy,28000
4948,BI6520MG,Camiseta 100% Cotone Made In Italy,28000
4948,BI6520CL,Camiseta 100% Cotone Made In Italy,28000
4948,BI6520ZM,Camiseta 100% Cotone Made In Italy,28000
4948,BI6520NG,Camiseta 100% Cotone Made In Italy,28000
9430,BI6521BL,Pantalon 100% Lino Made In Italy,42000
9430,BI6521RS,Pantalon 100% Lino Made In Italy,42000
9430,BI6521TJ,Pantalon 100% Lino Made In Italy,42000
9430,BI6521BD,Pantalon 100% Lino Made In Italy,42000
9430,BI6521BG,Pantalon 100% Lino Made In Italy,42000
9430,BI6521FG,Pantalon 100% Lino Made In Italy,42000
9430,BI6521MG,Pantalon 100% Lino Made In Italy,42000
